budget,arm,seed,jmean,es_iou,best_step,steps,n_real,n_gen,minutes,per_video
1,standard,2,0.3975,0.738,3800,4000,30,0,3.12,"{""blackswan"": 0.7673, ""bmx-trees"": 0.1507, ""breakdance"": 0.1371, ""camel"": 0.5903, ""car-roundabout"": 0.3394, ""car-shadow"": 0.5283, ""cows"": 0.7137, ""dance-twirl"": 0.2883, ""dog"": 0.3998, ""drift-chicane"": 0.0481, ""drift-straight"": 0.2542, ""goat"": 0.0222, ""horsejump-high"": 0.4731, ""kite-surf"": 0.6063, ""libby"": 0.3165, ""motocross-jump"": 0.4138, ""paragliding-launch"": 0.5053, ""parkour"": 0.5792, ""scooter-black"": 0.3329, ""soapbox"": 0.4825}"
1,propagate,1,0.3153,0.6675,1800,4000,30,74,2.96,"{""blackswan"": 0.2326, ""bmx-trees"": 0.1888, ""breakdance"": 0.1465, ""camel"": 0.3366, ""car-roundabout"": 0.2071, ""car-shadow"": 0.5909, ""cows"": 0.5675, ""dance-twirl"": 0.2226, ""dog"": 0.4112, ""drift-chicane"": 0.0068, ""drift-straight"": 0.129, ""goat"": 0.0556, ""horsejump-high"": 0.4088, ""kite-surf"": 0.5546, ""libby"": 0.2094, ""motocross-jump"": 0.3318, ""paragliding-launch"": 0.5226, ""parkour"": 0.5297, ""scooter-black"": 0.3061, ""soapbox"": 0.3482}"
2,standard,2,0.4253,0.7955,3800,4000,60,0,3.15,"{""blackswan"": 0.5265, ""bmx-trees"": 0.2227, ""breakdance"": 0.1442, ""camel"": 0.5668, ""car-roundabout"": 0.4734, ""car-shadow"": 0.7294, ""cows"": 0.6692, ""dance-twirl"": 0.2253, ""dog"": 0.5424, ""drift-chicane"": 0.1144, ""drift-straight"": 0.2987, ""goat"": 0.0052, ""horsejump-high"": 0.5616, ""kite-surf"": 0.6153, ""libby"": 0.4459, ""motocross-jump"": 0.3736, ""paragliding-launch"": 0.5559, ""parkour"": 0.6381, ""scooter-black"": 0.4111, ""soapbox"": 0.3855}"
2,propagate,1,0.3833,0.7348,2000,4000,60,151,2.91,"{""blackswan"": 0.6765, ""bmx-trees"": 0.2705, ""breakdance"": 0.153, ""camel"": 0.3351, ""car-roundabout"": 0.5092, ""car-shadow"": 0.5764, ""cows"": 0.5451, ""dance-twirl"": 0.2221, ""dog"": 0.4036, ""drift-chicane"": 0.0007, ""drift-straight"": 0.2583, ""goat"": 0.2371, ""horsejump-high"": 0.5823, ""kite-surf"": 0.4072, ""libby"": 0.3406, ""motocross-jump"": 0.384, ""paragliding-launch"": 0.504, ""parkour"": 0.5128, ""scooter-black"": 0.3215, ""soapbox"": 0.4252}"
20,flow,0,0.4266,0.8701,4000,4000,600,4152,2.94,"{""blackswan"": 0.4651, ""bmx-trees"": 0.2478, ""breakdance"": 0.2021, ""camel"": 0.6319, ""car-roundabout"": 0.3597, ""car-shadow"": 0.5826, ""cows"": 0.6769, ""dance-twirl"": 0.2413, ""dog"": 0.461, ""drift-chicane"": 0.025, ""drift-straight"": 0.3437, ""goat"": 0.3107, ""horsejump-high"": 0.5831, ""kite-surf"": 0.5723, ""libby"": 0.4709, ""motocross-jump"": 0.4033, ""paragliding-launch"": 0.5759, ""parkour"": 0.6512, ""scooter-black"": 0.3129, ""soapbox"": 0.4145}"
20,flow,1,0.4089,0.8635,4000,4000,600,4152,2.87,"{""blackswan"": 0.3942, ""bmx-trees"": 0.2817, ""breakdance"": 0.1718, ""camel"": 0.5995, ""car-roundabout"": 0.4016, ""car-shadow"": 0.5366, ""cows"": 0.6249, ""dance-twirl"": 0.2299, ""dog"": 0.4925, ""drift-chicane"": 0.0383, ""drift-straight"": 0.3708, ""goat"": 0.0403, ""horsejump-high"": 0.5126, ""kite-surf"": 0.5978, ""libby"": 0.3752, ""motocross-jump"": 0.3973, ""paragliding-launch"": 0.5488, ""parkour"": 0.6639, ""scooter-black"": 0.4252, ""soapbox"": 0.4744}"
1,propagate,0,0.3241,0.6632,1600,4000,30,74,3.13,"{""blackswan"": 0.3947, ""bmx-trees"": 0.2062, ""breakdance"": 0.196, ""camel"": 0.4412, ""car-roundabout"": 0.2794, ""car-shadow"": 0.5108, ""cows"": 0.5348, ""dance-twirl"": 0.2341, ""dog"": 0.258, ""drift-chicane"": 0.0, ""drift-straight"": 0.0454, ""goat"": 0.1457, ""horsejump-high"": 0.4369, ""kite-surf"": 0.4738, ""libby"": 0.3398, ""motocross-jump"": 0.3342, ""paragliding-launch"": 0.5095, ""parkour"": 0.5513, ""scooter-black"": 0.2669, ""soapbox"": 0.3224}"
2,propagate,0,0.3628,0.7424,2000,4000,60,151,2.96,"{""blackswan"": 0.7168, ""bmx-trees"": 0.2645, ""breakdance"": 0.1151, ""camel"": 0.3798, ""car-roundabout"": 0.5587, ""car-shadow"": 0.1665, ""cows"": 0.4937, ""dance-twirl"": 0.2418, ""dog"": 0.5966, ""drift-chicane"": 0.0049, ""drift-straight"": 0.1501, ""goat"": 0.1008, ""horsejump-high"": 0.5273, ""kite-surf"": 0.3034, ""libby"": 0.3912, ""motocross-jump"": 0.3704, ""paragliding-launch"": 0.5432, ""parkour"": 0.6017, ""scooter-black"": 0.3567, ""soapbox"": 0.3736}"
1,flow,1,0.3223,0.6806,1400,4000,30,208,2.93,"{""blackswan"": 0.4869, ""bmx-trees"": 0.2993, ""breakdance"": 0.0987, ""camel"": 0.2906, ""car-roundabout"": 0.1548, ""car-shadow"": 0.4028, ""cows"": 0.4289, ""dance-twirl"": 0.1992, ""dog"": 0.4218, ""drift-chicane"": 0.0, ""drift-straight"": 0.2533, ""goat"": 0.1268, ""horsejump-high"": 0.3871, ""kite-surf"": 0.5803, ""libby"": 0.3395, ""motocross-jump"": 0.3434, ""paragliding-launch"": 0.4996, ""parkour"": 0.5306, ""scooter-black"": 0.2433, ""soapbox"": 0.3596}"
1,propagate,2,0.3302,0.6923,1400,4000,30,74,3.0,"{""blackswan"": 0.2808, ""bmx-trees"": 0.2086, ""breakdance"": 0.0942, ""camel"": 0.4997, ""car-roundabout"": 0.1743, ""car-shadow"": 0.4495, ""cows"": 0.7418, ""dance-twirl"": 0.2417, ""dog"": 0.4215, ""drift-chicane"": 0.0, ""drift-straight"": 0.0803, ""goat"": 0.2338, ""horsejump-high"": 0.3758, ""kite-surf"": 0.5463, ""libby"": 0.2998, ""motocross-jump"": 0.3509, ""paragliding-launch"": 0.5027, ""parkour"": 0.5347, ""scooter-black"": 0.2316, ""soapbox"": 0.3355}"
2,flow,1,0.3797,0.7613,2200,4000,60,416,2.91,"{""blackswan"": 0.7062, ""bmx-trees"": 0.2488, ""breakdance"": 0.1297, ""camel"": 0.442, ""car-roundabout"": 0.4572, ""car-shadow"": 0.5965, ""cows"": 0.3927, ""dance-twirl"": 0.2106, ""dog"": 0.5475, ""drift-chicane"": 0.0206, ""drift-straight"": 0.2389, ""goat"": 0.1117, ""horsejump-high"": 0.5659, ""kite-surf"": 0.3277, ""libby"": 0.4759, ""motocross-jump"": 0.371, ""paragliding-launch"": 0.5526, ""parkour"": 0.5616, ""scooter-black"": 0.2983, ""soapbox"": 0.3385}"
2,propagate,2,0.3856,0.7589,2000,4000,60,151,2.99,"{""blackswan"": 0.3382, ""bmx-trees"": 0.2579, ""breakdance"": 0.1433, ""camel"": 0.5662, ""car-roundabout"": 0.4789, ""car-shadow"": 0.6611, ""cows"": 0.65, ""dance-twirl"": 0.2402, ""dog"": 0.4002, ""drift-chicane"": 0.0, ""drift-straight"": 0.2043, ""goat"": 0.1407, ""horsejump-high"": 0.4982, ""kite-surf"": 0.5888, ""libby"": 0.3042, ""motocross-jump"": 0.4325, ""paragliding-launch"": 0.5277, ""parkour"": 0.6321, ""scooter-black"": 0.2791, ""soapbox"": 0.3677}"
20,standard,1,0.4013,0.8009,4000,4000,600,0,3.17,"{""blackswan"": 0.5264, ""bmx-trees"": 0.1614, ""breakdance"": 0.1195, ""camel"": 0.707, ""car-roundabout"": 0.5905, ""car-shadow"": 0.1847, ""cows"": 0.6101, ""dance-twirl"": 0.2695, ""dog"": 0.6089, ""drift-chicane"": 0.0116, ""drift-straight"": 0.3544, ""goat"": 0.1007, ""horsejump-high"": 0.5688, ""kite-surf"": 0.5944, ""libby"": 0.3756, ""motocross-jump"": 0.3241, ""paragliding-launch"": 0.5417, ""parkour"": 0.6442, ""scooter-black"": 0.35, ""soapbox"": 0.3821}"
20,flow,2,0.42,0.872,4000,4000,600,4152,2.8,"{""blackswan"": 0.318, ""bmx-trees"": 0.3052, ""breakdance"": 0.1742, ""camel"": 0.5138, ""car-roundabout"": 0.4646, ""car-shadow"": 0.5073, ""cows"": 0.6428, ""dance-twirl"": 0.2709, ""dog"": 0.3992, ""drift-chicane"": 0.025, ""drift-straight"": 0.383, ""goat"": 0.3692, ""horsejump-high"": 0.5451, ""kite-surf"": 0.591, ""libby"": 0.3678, ""motocross-jump"": 0.3522, ""paragliding-launch"": 0.5849, ""parkour"": 0.6607, ""scooter-black"": 0.4428, ""soapbox"": 0.4827}"
